time,temperature,humidity
7:25:25,28.06,75.22
7:26:26,28.03,75.2
7:27:26,28.07,75.36
7:28:27,28.05,75.35
7:29:27,28.07,75.65
7:30:28,28.08,75.39
7:31:29,28.07,75.8
7:32:29,28.11,75.69
7:33:30,28.11,75.74
7:34:30,28.11,75.52
7:35:31,28.1,75.54
7:36:31,28.09,75.54
7:37:32,28.12,75.25
7:38:32,28.1,75.34
7:39:33,28.11,75.34
7:40:33,28.11,75.3
7:41:34,28.12,75.57
7:42:34,28.13,75.37
7:43:35,28.13,75.6
7:44:35,28.14,75.68
7:45:36,28.16,75.45
7:46:37,28.15,75.65
7:47:37,28.17,75.78
7:48:38,28.17,75.76
7:49:38,28.17,75.73
7:50:39,28.18,75.51
7:51:39,28.16,75.39
7:52:40,28.18,75.42
7:53:40,28.2,75.59
7:54:41,28.19,75.65
7:55:41,28.17,75.39
7:56:42,28.2,75.61
7:57:42,28.2,75.3
7:58:43,28.21,75.44
7:59:44,28.21,75.53
8:00:44,28.23,75.66
8:01:45,28.23,75.51
8:02:45,28.23,75.69
8:03:46,28.25,75.65
8:04:46,28.25,75.24
8:05:47,28.28,75.44
8:06:48,28.27,75.29
8:07:48,28.25,75.84
8:08:49,28.28,75.89
8:09:49,28.27,75.82
8:10:50,28.28,75.9
8:11:50,28.28,75.92
8:12:51,28.29,75.83
8:13:51,28.3,76.05
8:14:52,28.29,76.26
8:15:52,28.32,76.31
8:16:53,28.32,76.37
8:17:53,28.35,76.04
8:18:54,28.34,76.38
8:19:54,28.34,76.6
8:20:55,28.36,76.6
8:21:55,28.35,76.62
8:22:56,28.38,76.76
8:23:57,28.38,76.68
8:24:57,28.38,76.63
8:25:58,28.36,76.6
8:26:58,28.4,76.84
8:27:59,28.39,76.63
8:28:59,28.41,76.53
8:30:00,28.42,76.64
8:31:00,28.41,76.58
8:32:01,28.42,76.49
8:33:02,28.43,76.52
8:34:02,28.46,76.6
8:35:03,28.47,76.59
8:36:03,28.47,76.51
8:37:04,28.49,76.53
8:38:04,28.47,76.54
8:39:05,28.48,76.68
8:40:06,28.51,76.62
8:41:06,28.52,76.56
8:42:07,28.53,76.94
8:43:07,28.52,76.9
8:44:08,28.54,77.02
8:45:08,28.56,76.8
8:46:09,28.56,77
8:47:09,28.56,76.98
8:48:10,28.56,77.1
8:49:11,28.57,76.81
8:50:11,28.59,76.92
8:51:12,28.61,77.02
8:52:12,28.61,76.98
8:53:13,28.62,77.11
8:54:13,28.64,76.92
8:55:14,28.64,76.84
8:56:14,28.65,76.74
8:57:15,28.67,76.89
8:58:15,28.65,76.84
8:59:16,28.67,76.72
9:00:17,28.67,76.7
9:01:17,28.67,76.65
9:02:18,28.67,76.74
9:03:18,28.68,76.68
9:04:19,28.71,76.63
9:05:19,28.7,76.6
9:06:20,28.72,76.56
9:07:20,28.73,76.47
9:08:21,28.73,76.68
9:09:21,28.74,76.52
9:10:22,28.76,76.49
9:11:20,28.78,76.88
12:13:44,26.51,60.34
12:13:51,26.52,60.32
12:27:16,27.2,71.37
12:28:17,27.24,74.17
12:29:17,27.34,75.08
12:30:18,27.42,76.65
12:31:18,27.46,77.07
12:32:19,27.5,75.95
12:32:48,27.53,77.39
12:33:48,27.58,77.2
12:34:49,27.61,78
12:35:49,27.66,79.59
