Timestamp(ms),Current(uA),D0-D7
68.46,3.139,10000000
68.47,3.051,10000000
68.48,3.095,10000000
68.49,3.315,10000000
68.5,3.139,10000000
68.51,3.271,10000000
68.52,2.964,10000000
68.53,3.007,10000000
68.54,3.007,10000000
68.55,3.139,10000000
68.56,3.315,10000000
68.57,3.095,10000000
68.58,3.051,10000000
68.59,3.139,10000000
68.6,3.007,10000000
68.61,2.92,10000000
68.62,3.095,10000000
68.63,2.92,10000000
68.64,3.051,10000000
68.65,2.964,10000000
68.66,2.964,10000000
68.67,3.139,10000000
68.68,3.139,10000000
68.69,3.139,10000000
68.7,3.095,10000000
68.71,2.964,10000000
68.72,3.095,10000000
68.73,3.095,10000000
68.74,3.051,10000000
68.75,3.315,10000000
68.76,3.095,10000000
68.77,3.051,10000000
68.78,2.744,10000000
68.79,2.964,10000000
68.8,2.92,10000000
68.81,2.876,10000000
68.82,3.051,10000000
68.83,2.964,10000000
68.84,2.964,10000000
68.85,3.007,10000000
68.86,3.095,10000000
68.87,3.007,10000000
68.88,3.139,10000000
68.89,3.051,10000000
68.9,3.007,10000000
68.91,3.139,10000000
68.92,3.139,10000000
68.93,2.92,10000000
68.94,3.051,10000000
68.95,3.227,10000000
68.96,3.051,10000000
68.97,3.051,10000000
68.98,3.007,10000000
68.99,3.051,10000000
69,3.051,10000000
69.01,3.227,10000000
69.02,2.92,10000000
69.03,3.227,10000000
69.04,3.095,10000000
69.05,3.095,10000000
69.06,3.271,10000000
69.07,3.095,10000000
69.08,3.315,10000000
69.09,3.007,10000000
69.1,3.183,10000000
69.11,3.007,10000000
